associatedReferences,scientificName,road_length,survey_days,country,Roadkill_rate_ind_km_y,decimalLatitude,decimalLongitude,iucnStatus,rate_category,species,name_change,Split_species,Order.x,status,IslandEndemic,Volancy,Mass,HWI,Habitat.x,Trophic.Level,Trophic.Niche,LAT,New_Data_Notes,Beak.Length.culmen,Beak.Length.nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Tail.Length,Genus.x,Species.x,Family.x,RedlistCategory,Threat,LogRangeSize,LogBodyMass,Diet,Foraging,Migration,MatingSystem,NestPlacement,Territoriality,Habitat.y,IslandDwelling,LogClutchSize,LogNightLights,LogHumanPopulationDensity,SpeciesID,Order.y,Family.y,Genus.y,Species.y,Taxonomic_Comments,Extinct_full,Extinct_partial,Marine_full,Marine_partial,Migr_dir_full,Migr_dir_partial,Migr_dir_local,Migr_disp_full,Migr_disp_partial,Migr_disp_local,Migr_altitudinal,Irruptive,Nomad_full,Nomad_partial,Nomad_local,Resid_full,Resid_partial,Unknown,Uncertain,Migratory_status_Comments,Triplechecked,Migratory_status,Migratory_status_2,Migratory_status_3
Omena_Jr_et_al_2012,Crotophaga ani,107,762,Brazil,0.01790664,-2.323301,-60.044455,LC,Medium,Crotophaga ani,0,NA,Cuculiformes,LC,No,Volant,110.1,24.8,Human Modified,Carnivore,Omnivore,-8.83,,30.6,18.4,9.9,21.1,35.8,144,35.5,107.3,180.6,Crotophaga,ani,Cuculidae,LC,0,16.4629183820924,4.70129821308231,Generalist,ArborealGleaning,Sedentary,Cooperative,ExposedElevated,strong,Terrestrial,No,0.93458392492148,1.0799029488658,3.16547504814109,2623,CUCULIFORMES,Cuculidae,Crotophaga,ani,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,"resident or locally nomadic, with post-breeding dispersive movements out of breeding range but these are not mapped",1,resident,partial resident,partial resident
Omena_Jr_et_al_2012,Ibycter americanus,107,762,Brazil,0.00447666,-2.323301,-60.044455,LC,Low,Ibycter americanus,0,NA,Falconiformes,LC,No,Volant,624,26.2,Forest,Carnivore,Invertivore,-4.35,,40.2,26.1,13.6,16.7,50.1,359.8,92.2,258.6,253.8,Ibycter,americanus,Falconidae,LC,0,15.905770667332,6.43615036836943,Invertebrates,BarkGleaning,Sedentary,Cooperative,ExposedElevated,strong,Terrestrial,No,0.916290731874155,0.845069726622771,1.80828877117927,1192,FALCONIFORMES,Falconidae,Ibycter,americanus,HBW: Daptrius_americanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,resident,full resident,full resident
Omena_Jr_et_al_2012,Pulsatrix perspicillata,107,762,Brazil,0.0223833,-2.323301,-60.044455,LC,Medium,Pulsatrix perspicillata,0,NA,Strigiformes,LC,No,Volant,983.6,28.1,Forest,Carnivore,Vertivore,-6.68,,47.9,25.2,12.6,22.5,55.1,339.3,95.1,243,202.6,Pulsatrix,perspicillata,Strigidae,LC,0,16.355484833714,6.89116847537774,Vertebrates,AerialSallying,Sedentary,NonCooperative,Cavity,strong,Terrestrial,No,0.693147180559945,1.05525014691589,3.06339092202781,2918,STRIGIFORMES,Strigidae,Pulsatrix,perspicillata,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,resident,full resident,full resident
Pacheco et al. 2021,Ardea alba,7.09,243,Mexico,0.211855799,18.64078088,-92.46699167,LC,High,Ardea alba,0,NA,Pelecaniformes,LC,No,Volant,871.3,32.1,Wetland,Carnivore,Aquatic predator,10.02,,126.3,90.4,12,18.1,141.6,378.8,120.7,257.2,140.5,Casmerodius,albus,Ardeidae,LC,0,17.8491877506854,6.77002077995403,AquaticAnimals,GroundForaging,PartiallyMigratory,NonCooperative,ExposedElevated,none,Wetland,No,1.31698256122966,1.16467420192303,3.80220813942094,839,PELECANIFORMES,Ardeidae,Ardea,alba,includes previously separate Ardea_modesta; in HBW Egretta_alba and includes race modesta,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,"N popltns partially migratory with some dispersive movements, tropical populations generally sedentary, dispersive on a large scale wih possible regular migratory movements and sometimes irruptive in Australia, extensive post-breeding dispersal",1,directional migratory,partial directional migrant,partial directional migrant
Pacheco et al. 2021,Campephilus guatemalensis,23.24,243,Mexico,0.064632427,18.49124259,-92.71700636,LC,High,Campephilus guatemalensis,0,NA,Piciformes,LC,No,Volant,242,21,Forest,Carnivore,Invertivore,17.23,,47.7,35.7,13.2,12.4,35.2,180.8,36.5,137.5,107.5,Campephilus,guatemalensis,Picidae,LC,0,13.6976701581626,5.48893772615669,Invertebrates,BarkGleaning,Sedentary,NonCooperative,Cavity,strong,Terrestrial,No,0.693147180559945,1.1921690485645,3.93378449720966,4252,PICIFORMES,Picidae,Campephilus,guatemalensis,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"resident, possibly some local movements",1,resident,full resident,full resident
Pacheco et al. 2021,Caracara plancus,7.09,243,Mexico,0.211855799,18.63317697,-92.49196754,LC,High,Caracara plancus,0,NA,Falconiformes,LC,No,Volant,1078.6,24.4,Shrubland,Omnivore,Omnivore,-24.93,,43.8,29.8,14.8,23.9,79.1,378.7,92.3,284.6,205.3,Caracara,plancus,Falconidae,LC,0,16.0148660965223,6.98343772528638,Ca,GroundForaging,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.916290731874155,1.11758650657552,3.22286784613774,1199,FALCONIFORMES,Falconidae,Caracara,plancus,in HBW Polyborus_plancus includes race cheriway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"generally sedentary, but likely some local movements",1,resident,full resident,full resident
Pacheco et al. 2021,Columba livia,23.24,243,Mexico,0.064632427,18.50841383,-92.6939758,LC,High,Columba livia,0,NA,Columbiformes,LC,No,Volant,354.2,45.1,Human Modified,Herbivore,Granivore,33.52,,23.2,12.1,4.3,5,26.5,219.6,98.8,120.4,105.5,Columba,livia,Columbidae,LC,0,16.6721248859826,5.86986172534873,Seeds,GroundForaging,Sedentary,NonCooperative,ExposedElevated,none,Terrestrial,No,0.693147180559945,1.2981640707689,4.66908351173174,1874,COLUMBIFORMES,Columbidae,Columba,livia,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"natural popltns resident, may make local movements in seasonally arid areas",1,resident,full resident,full resident
Pacheco et al. 2021,Coragyps atratus,8.04,243,Mexico,1.49458469,18.51326048,-92.65754129,LC,High,Coragyps atratus,0,NA,Cathartiformes,LC,No,Volant,1881.7,14.3,Human Modified,Omnivore,Scavenger,-4.79,,60,35,14.8,16.1,76.1,410.1,58.4,352.6,180,Coragyps,atratus,Cathartidae,LC,0,16.8681805615649,7.53992558819307,Ca,GroundForaging,PartiallyMigratory,NonCooperative,Cavity,none,Terrestrial,No,0.693147180559945,1.20523188832415,3.37416870927424,929,ACCIPITRIFORMES,Cathartidae,Coragyps,atratus,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"seems largely resident, some local seasonal movement suggested by migratory passage",1,resident,full resident,full resident
Pacheco et al. 2021,Dendrocygna autumnalis,23.24,243,Mexico,0.064632427,18.46364314,-92.74789452,LC,High,Dendrocygna autumnalis,0,NA,Anseriformes,LC,No,Volant,755.3,32.7,Wetland,Herbivore,Herbivore terrestrial,-4.7,,50.8,34.6,18.3,16.1,52.7,240.8,79.1,163.4,66,Dendrocygna,autumnalis,Anatidae,LC,0,16.0496486590234,6.6271150213194,TerrestrialPlants,GroundForaging,PartiallyMigratory,NonCooperative,Cavity,none,Wetland,No,2.63905732961526,1.06157560586068,3.01062088604774,365,ANSERIFORMES,Anatidae,Dendrocygna,autumnalis,,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,"partially migratory, especially in N, otherwise largely sedentary with some local movements",1,directional migratory,partial directional migrant,partial directional migrant
Pacheco et al. 2021,Fulica americana,8.04,243,Mexico,0.373646172,18.53558964,-92.63855066,LC,High,Fulica americana,0,NA,Gruiformes,LC,No,Volant,636.7,36.3,Wetland,Herbivore,Herbivore aquatic,42.59,,37.3,14.8,5.9,10.7,54.8,183.1,65.8,115.7,50.6,Fulica,americana,Rallidae,LC,0,16.1826374002157,6.45636140898556,AquaticPlants,ForagingGeneralist,PartiallyMigratory,NonCooperative,ExposedGround,weak,Wetland,No,2.35137525716348,1.2981640707689,3.19458313229916,1446,GRUIFORMES,Rallidae,Fulica,americana,now includes caribaea (not a valid taxon any more),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"mainly migratory, some resident popltns",1,directional migratory,partial directional migrant,partial directional migrant
Pacheco et al. 2021,Glaucidium brasilianum,5.74,243,Mexico,48.67294705,18.39492164,-92.88928551,LC,High,Glaucidium brasilianum,0,NA,Strigiformes,LC,No,Volant,63.3,17.7,Shrubland,Carnivore,Invertivore,-6.96,,15.1,10.3,6.1,10.7,17.2,93.8,16.6,77.1,62.8,Glaucidium,brasilianum,Strigidae,LC,0,16.4929277564115,4.31882055877009,Invertebrates,AerialSallying,Sedentary,NonCooperative,Cavity,weak,Terrestrial,No,1.25276296849537,1.08188261427567,3.15273602236366,2939,STRIGIFORMES,Strigidae,Glaucidium,brasilianum,includes tucumanum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,resident,full resident,full resident
Pacheco et al. 2021,Nyctidromus albicollis,20.74,243,Mexico,0.072423221,18.42568076,-93.36940978,LC,High,Nyctidromus albicollis,0,NA,Caprimulgiformes,LC,No,Volant,57.8,35.8,Woodland,Carnivore,Invertivore,-5.71,,16.2,7.2,5,3.5,22.1,150.9,53,95.6,136.2,Nyctidromus,albicollis,Caprimulgidae,LC,0,16.4364409543806,4.05768057785051,Invertebrates,AerialSallying,Sedentary,NonCooperative,ExposedGround,weak,Terrestrial,No,0.405465108108164,1.07389769506554,3.18635263316264,3041,CAPRIMULGIFORMES,Caprimulgidae,Nyctidromus,albicollis,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"most popltns largely sedentary, one race in N partially migratory apparently moving S in winter",1,resident,full resident,full resident
Pacheco et al. 2021,Quiscalus mexicanus,6.83,243,Mexico,2.199205876,18.4162787,-92.81524931,LC,High,Quiscalus mexicanus,0,NA,Passeriformes,LC,No,Volant,160.5,26.8,Human Modified,Omnivore,Omnivore,29.28,,43.3,29.2,8.2,11.5,47.9,168.6,46,126.4,170.1,Quiscalus,mexicanus,Icteridae,LC,0,15.4259669515703,5.07810700921127,Generalist,GroundForaging,Sedentary,NonCooperative,ExposedElevated,none,Terrestrial,No,1.25276296849537,1.32690681140987,3.75185425327532,9963,PASSERIFORMES,Icteridae,Quiscalus,mexicanus,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"apparently resident in most of range, short distance migrant in extreme N, though even these popltns may not move during mild winters, and wintering ranges poorly known",1,directional migratory,partial directional migrant,partial directional migrant
Pacheco et al. 2021,Setophaga petechia,14.7,243,Mexico,0.20436158,18.56784532,-92.59371423,LC,High,Setophaga petechia,0,NA,Passeriformes,LC,No,Volant,10.2,23.6,Shrubland,Carnivore,Invertivore,50.59,,11.7,8,3.4,3.2,20,60.2,14.1,45.7,43.3,Dendroica,petechia,Parulidae,LC,0,16.5180830370366,2.32434658477556,Invertebrates,ArborealGleaning,Migratory,NonCooperative,ExposedElevated,weak,Terrestrial,No,1.50407739677627,1.20380134350272,2.83321334405622,9798,PASSERIFORMES,Parulidae,Setophaga,petechia,in HBW no split into Dendroica_petechia and Dendroica_aestiva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,resident,full resident,full resident
